date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:48:36	378/378	---M--	200	added ('OK')	application/javascript	etag:%2217a-5b00f8857b280%22	http://ninja-checker.herokuapp.com/arquivos/home-premium.js	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/arquivos/home-premium.js	(from http://ninja-checker.herokuapp.com/checker.php)
18:48:38	3146/3146	---M--	200	added ('OK')	application/javascript	etag:%22c4a-5b00f8857b280%22	http://ninja-checker.herokuapp.com/arquivos/front.js	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/arquivos/front.js	(from http://ninja-checker.herokuapp.com/checker.php)
18:48:44	159638/159638	---M--	200	added ('OK')	application/javascript	etag:%2226f96-5b00f8857b280%22	http://ninja-checker.herokuapp.com/arquivos/Chart.min.js	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/arquivos/Chart.min.js	(from http://ninja-checker.herokuapp.com/checker.php)
18:48:56	444678/444678	---M--	200	added ('OK')	image/jpeg	etag:%226c906-5b00f8857b280%22	http://ninja-checker.herokuapp.com/image/17580.jpg	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/image/17580.jpg	(from http://ninja-checker.herokuapp.com/checker.php)
18:51:27	4278090/4278090	---M--	200	added ('OK')	image/png	etag:%2241474a-5b00f8857b280%22	http://ninja-checker.herokuapp.com/logo.png	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/logo.png	(from http://ninja-checker.herokuapp.com/checker.php)
18:51:30	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2013:21:28%20GMT	http://ninja-checker.herokuapp.com/img/multiselect-switch.png	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/img/multiselect-switch.19.delayed	(from http://ninja-checker.herokuapp.com/arquivos/style.default.premium.css)
18:51:31	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2013:21:29%20GMT	http://ninja-checker.herokuapp.com/img/bg.jpg	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/img/bg.jpg	(from http://ninja-checker.herokuapp.com/arquivos/style.default.premium.css)
18:51:31	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2013:21:29%20GMT	http://ninja-checker.herokuapp.com/about.php	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/about.php	(from http://ninja-checker.herokuapp.com/About.php)
18:51:39	18994/18994	---M--	200	added ('OK')	application/javascript	etag:%224a32-5b00f8857b280%22	http://ninja-checker.herokuapp.com/assets/js/core/popper.min.js	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/assets/js/core/popper.min.js	(from http://ninja-checker.herokuapp.com/skcheck.php)
18:51:41	120619/120619	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.3.2/jquery.js	C:/My%20Web%20Sites/Ninja/ajax.googleapis.com/ajax/libs/jquery/1.3.2/jquery.js	(from http://ninja-checker.herokuapp.com/skcheck.php)
